nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
10698,A,Prince,K-L-M-P,-73.554038956288878000,45.496466148563172000,Régulier Payez-Partez
10702,A,Queen,K-L-M-P,-73.556409429456465000,45.498074575356604000,Régulier Payez-Partez
10703,A,Queen,K-L-M-P,-73.554913324793418000,45.497498077598266000,Régulier Payez-Partez
10704,A,Queen,K-L-M-P,-73.553276051505364000,45.496891437590428000,Régulier Payez-Partez
10706,A,Commune,K-L-M-P,-73.553008141863714000,45.497525511234585000,Régulier Payez-Partez
10707,A,Commune,K-L-M-P,-73.552962419849195000,45.498269832020064000,Régulier Payez-Partez
10708,A,Soeurs-Grises,K-L-M-P,-73.554429423703439000,45.498792692514400000,Régulier Payez-Partez
10711,A,Wellington,K-L-M-P,-73.555281492596620000,45.498107070199794000,Régulier Payez-Partez
10716,A,Youville (Place),K-M-N-P,-73.555603364635942000,45.501257389389572000,Régulier Payez-Partez
10717,A,Sainte-Catherine,E-F-G-H,-73.566197820576775000,45.507028198276181000,Régulier Payez-Partez
10718,A,Sherbrooke,G-PC-S-W,-73.567305595440800000,45.516943379607120000,Régulier Payez-Partez
10719,A,Sherbrooke,G-PC-S-W,-73.566693670236347000,45.518314607220198000,Régulier Payez-Partez
10720,A,Tupper,A-B-C-J,-73.582261187839435000,45.489992222203000000,Régulier Payez-Partez
10722,A,Notre-Dame,H-N-P-Q,-73.553390613462597000,45.509183061500671000,Régulier Payez-Partez
10723,A,Notre-Dame,H-N-P-Q,-73.552815199234075000,45.509608502684912000,Régulier Payez-Partez
10726,A,Saint-Paul,K-L-M-P,-73.556544594535538000,45.500954946028770000,Régulier Payez-Partez
10727,A,Saint-Paul,K-M-N-P,-73.555859695248557000,45.501863695702482000,Régulier Payez-Partez
10728,A,Saint-Paul,K-M-N-P,-73.555235930311682000,45.502926596787013000,Régulier Payez-Partez
10729,A,Gosford,M-N-P-Q,-73.554697615646234000,45.509779472153816000,Régulier Payez-Partez
10731,A,Bonsecours,H-N-P-Q,-73.553089066258195000,45.510311359777610000,Régulier Payez-Partez
10734,A,Bonsecours,H-N-P-Q,-73.551952860236526000,45.510036383551935000,Régulier Payez-Partez
10735,A,Saint-Paul,H-N-P-Q,-73.551373757929269000,45.510342524681967000,Régulier Payez-Partez
10737,A,Saint-Jacques,K-M-N-P,-73.560035261468912000,45.501527064392825000,Régulier Payez-Partez
10738,A,Saint-Jacques,K-M-N-P,-73.559540387657236000,45.502197936951355000,Régulier Payez-Partez
10739,A,Notre-Dame,K-L-M-P,-73.559214758150546000,45.501623772285910000,Régulier Payez-Partez
10743,A,Cedar,A-B-E-R,-73.588074450317080000,45.498926652446620000,Régulier Payez-Partez
10744,A,Saint-Paul,K-L-M-P,-73.557560981966006000,45.499897126933483000,Régulier Payez-Partez
10746,A,Youville (Place),K-L-M-P,-73.556145544913491000,45.500634009655222000,Régulier Payez-Partez
10747,A,Youville (Place),K-L-M-P,-73.555652528344950000,45.500377348087980000,Régulier Payez-Partez
10748,A,William,K-L-M-P,-73.556584319334760000,45.499572318070669000,Régulier Payez-Partez
10749,A,Saint-Maurice,K-L-M-P,-73.559860740601849000,45.499114515260629000,Régulier Payez-Partez
10751,A,McGill,K-M-N-P,-73.559706052556152000,45.501135585524288000,Régulier Payez-Partez
10752,A,Saint-Maurice,K-L-M-P,-73.560126121151072000,45.498565329798716000,Régulier Payez-Partez
10753,A,McGill,K-L-M-P,-73.558458175424647000,45.500715842122709000,Régulier Payez-Partez
10754,A,Saint-Maurice,K-L-M-P,-73.559181363371323000,45.499804812246026000,Régulier Payez-Partez
10756,A,Saint-Paul,K-L-M-P,-73.559039620338154000,45.498525814799933000,Régulier Payez-Partez
10757,A,Saint-Paul,K-L-M-P,-73.557884918633249000,45.499414418717215000,Régulier Payez-Partez
10758,A,McGill,K-L-M-P,-73.557285817319908000,45.500313135238592000,Régulier Payez-Partez
10759,A,McGill,K-L-M-P,-73.555601299248664000,45.499748804038639000,Régulier Payez-Partez
10761,A,McGill,K-L-M-P,-73.553480359185798000,45.499017657792166000,Régulier Payez-Partez
10763,A,Sainte-Hélène,K-L-M-P,-73.557655265779886000,45.501119562799275000,Régulier Payez-Partez
10765,A,Normand,K-L-M-P,-73.554133966716591000,45.499802637897730000,Régulier Payez-Partez
10766,A,Saint-Jacques,K-M-N-P,-73.559067292027507000,45.502857497612482000,Régulier Payez-Partez
10767,A,Saint-Jacques,K-M-N-P,-73.558401604735195000,45.503773421134234000,Régulier Payez-Partez
10769,A,Saint-Jacques,K-M-N-P,-73.556819529159242000,45.505828426868355000,Régulier Payez-Partez
10770,A,Notre-Dame,K-M-N-P,-73.558593070521766000,45.502448331543562000,Régulier Payez-Partez
10771,A,Notre-Dame,K-M-N-P,-73.557760683526595000,45.503567902666710000,Régulier Payez-Partez
